Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,distance
Fort (Colombo),6.9337011,79.8500302,& Co.,6.934104014377093,79.84283029941733,English Restaurant,0.04455848640878547
Maharagama,6.8510951,79.92120109999998,119 Bus Stand,6.845374801397608,79.92617037619745,Bus Station,0.6326081923499013
Slave Island,6.9257119000000005,79.8503314,11Th Platform,6.9329906,79.85109,Platform,0.8049546292565942
Kollupitiya,6.912815400000001,79.8506815,168 Seafood Palace,6.909465113707845,79.85068853444909,Seafood Restaurant,0.3705093493273047
"Kaduwela, Western Province",6.929061,79.98277540000002,177 Bus Halt,6.934588906287956,79.98376207818514,Bus Station,0.6113336473224057
Union Place,6.9229583,79.8523572,1864 Restaurant,6.919897742077817,79.8466965156027,Restaurant,0.33846833205060434
Boralesgamuwa,6.840989100000002,79.9017187,1979 Restaurant,6.83473,79.905004,Chinese Restaurant,0.6921939759225906
Cinnamon Gardens,6.9116652,79.86456779999997,41 Sugar,6.908314528023226,79.8654981821218,Bar,0.37055198447667564
Slave Island,6.9257119000000005,79.8503314,4th Platform,6.93333137306586,79.85098519274115,Platform,0.8426408782806127
Peliyagoda,6.958491499999999,79.9055819,6th Mile Post,6.9566971755740745,79.91237370887447,Bus Station,0.19843536195581488
Kirulapana,6.8814717000000005,79.87634759999997,6th Mile Post Halt (highlevel),6.87542457056101,79.88122329199194,Bus Station,0.6687532760607016
Slave Island,6.9257119000000005,79.8503314,7 Degrees North,6.929530680788635,79.84971262447459,Bar,0.42232061366261225
Maharagama,6.8510951,79.92120109999998,7Km Restaurant,6.842929941643045,79.92216825485228,Asian Restaurant,0.9029853449084165
Cinnamon Gardens,6.9116652,79.86456779999997,80 Club,6.90615299135813,79.86666896689465,Bar,0.6095970518283487
Havelock Town,6.8866519,79.8646835,88 Chinese Seafood,6.8946829979887685,79.86100080655623,Chinese Restaurant,0.8881612147365003
Bambalapitiya,6.904361,79.8540397,99X Technology,6.905620475857027,79.85494644843443,IT Services,0.1392858458863359
Malabe,6.906078699999999,79.9696277,A&D Food Center,6.9136133427050055,79.97202478809884,Asian Restaurant,0.8332587639832943
Bambalapitiya,6.904361,79.8540397,A&M Cupcakes,6.8967261637041775,79.85446880320019,Cupcake Shop,0.8443388795004203
Rajagiriya,6.909410799999999,79.8942538,AMW Service Center,6.905970213438272,79.90120031583717,Auto Garage,0.3804956332140413
Wellawatte,6.8740921,79.8604934,AV15 Villas,6.877402,79.85821999999999,Hotel,0.36604247380417765
Kollupitiya,6.912815400000001,79.8506815,AYU,6.91173456,79.85060769,Restaurant,0.11953048463162441
Rajagiriya,6.909410799999999,79.8942538,Abans Elite,6.909890474063892,79.88851221873189,Electronics Store,0.05304732154782306
Maharagama,6.8510951,79.92120109999998,Abans Maharagana,6.845913790723087,79.92753668676197,Electronics Store,0.5730013343985645
Cinnamon Gardens,6.9116652,79.86456779999997,Abstract,6.905420024188155,79.8632453604502,Women's Store,0.6906561329583129
Battaramulla,6.897994099999999,79.9222869,Access Natural Water,6.899055002330348,79.91493136018364,Food & Drink Shop,0.11732550306720807
Cinnamon Gardens,6.9116652,79.86456779999997,Agra,6.903438175960537,79.86495822189653,Indian Restaurant,0.9098293698057816
Dehiwala,6.8301185,79.8800832,Air Force Camp Junction,6.824967992657701,79.88324645963874,Bus Stop,0.5695944516438577
Fort (Colombo),6.9337011,79.8500302,Air Force Grounds,6.928420759283345,79.84799841974205,Cricket Ground,0.5839552404995019
Dehiwala,6.8301185,79.8800832,Air Force Rugby Grounds,6.822273205354129,79.88312616448493,Athletics & Sports,0.8676108499107926
